"Total energy consumed by the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"29,997","29,909","34,359","35,665","37,373","34,485","45,070","39,203","41,914","51,567","55,765","62,215","65,626","67,350","60,383","57,500","66,547","69,225","66,740","58,504","59,067","56,169","57,144","59,808","67,253","70,835","77,897","79,676","75,631","66,854","70,033","58,643","67,293","64,556","51,211","51,727","56,206","53,401","51,169","51,729","57,735","53,231","47,658","52,032","54,108","51,468","45,917","43,603","42,243","36,822","39,218","40,228","40,006","43,057","43,177","41,801","40,790","45,858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"486,441","508,910","546,138","543,734","548,945","563,738","600,329","623,270","640,196","656,900","660,791","622,244","639,126","663,854","609,365","543,483","601,536","592,532","593,236","665,181","589,792","543,479","511,878","483,518","510,648","461,671","458,464","482,289","476,353","469,159","439,477","442,387","511,879","546,765","535,281","547,337","532,637","552,792","531,891","565,336","409,573","440,250","423,728","394,365","385,100","389,538","363,917","366,885","316,758","263,180","271,318","276,944","274,954","271,465","259,399","262,775","256,658","256,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"170,471","166,032","190,747","179,212","172,906","156,207","171,776","180,302","190,186","179,152","193,607","194,428","203,623","196,531","191,573","180,582","200,208","178,903","169,974","168,658","164,698","150,091","155,171","166,132","178,103","154,370","134,690","152,317","148,966","155,203","191,281","186,855","192,674","193,130","195,039","203,331","219,692","205,974","196,216","194,499","211,093","202,456","199,567","215,036","225,387","222,191","225,722","250,590","229,480","210,927","214,496","223,188","226,006","220,834","230,241","226,406","223,881","229,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"24,147","31,859","31,164","32,075","30,302","30,511","38,408","36,111","35,041","38,967","42,616","44,515","47,530","51,226","50,674","46,470","55,075","54,488","56,738","76,312","78,691","75,741","77,734","85,384","71,574","68,675","67,323","74,689","83,550","105,297","110,546","109,896","118,380","125,551","138,559","150,885","155,420","157,571","164,260","163,590","163,509","166,972","156,390","164,148","177,089","186,470","195,343","186,773","182,110","171,166","173,186","164,970","166,584","170,586","182,930","164,308","172,275","172,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"891,279","951,036","1,032,450","987,965","1,042,081","1,148,346","1,200,590","1,162,111","1,165,850","1,198,906","1,195,699","1,093,206","1,061,060","1,141,596","1,079,603","950,139","1,062,754","1,061,424","1,032,486","1,043,767","925,491","870,477","801,164","739,038","737,691","733,503","671,637","698,411","726,313","714,484","710,217","690,598","721,881","710,132","696,627","693,649","720,460","706,468","681,494","622,648","604,269","563,422","535,773","496,321","501,709","495,240","423,781","462,574","398,767","358,769","359,590","365,359","356,782","395,685","395,932","398,459","390,140","387,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"1,617,838","1,522,666","1,590,361","1,641,646","1,720,540","1,805,714","1,883,175","1,834,028","1,919,063","1,971,063","1,978,044","1,873,604","1,998,903","2,071,776","2,060,515","1,881,769","2,001,012","1,997,527","1,999,723","2,123,424","1,827,656","1,765,368","1,461,132","1,424,585","1,553,682","1,542,554","1,447,165","1,505,046","1,549,556","1,609,599","1,575,099","1,506,727","1,558,030","1,516,156","1,619,660","1,611,771","1,620,079","1,613,914","1,579,164","1,619,227","1,582,311","1,412,472","1,301,061","1,318,033","1,322,030","1,313,298","1,282,254","1,329,406","1,326,699","1,113,068","1,228,289","1,219,957","1,218,787","1,207,608","1,237,639","1,209,819","1,200,199","1,196,651",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"255,039","253,897","344,280","399,587","420,001","383,669","333,447","332,114","369,133","388,945","398,720","415,826","425,551","420,974","454,276","446,236","508,474","526,431","547,571","619,032","518,665","514,775","528,019","520,577","542,392","522,970","474,644","527,320","519,003","542,012","577,766","530,694","543,657","569,530","568,197","556,123","557,367","568,251","542,259","527,071","518,259","500,713","482,350","511,291","543,310","555,567","587,204","571,534","569,032","510,700","549,874","561,441","582,226","591,611","611,551","603,754","616,963","637,353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"193,040","200,336","211,244","214,239","241,018","247,329","262,685","265,873","277,992","289,983","293,229","306,142","315,137","317,478","312,322","324,362","338,385","324,444","346,850","344,079","352,650","362,316","316,116","308,916","359,007","314,395","310,900","338,494","351,538","331,239","317,450","315,030","317,841","314,406","318,231","330,790","354,543","359,917","352,756","352,681","338,377","277,569","272,566","253,904","261,734","271,810","283,113","271,861","267,592","233,883","233,874","245,348","246,777","249,822","254,661","256,131","257,455","261,361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"1,717,412","1,639,718","1,714,908","1,819,392","2,006,269","2,119,568","2,167,778","2,090,799","2,141,703","2,117,079","2,159,132","2,030,360","2,080,234","2,165,331","2,103,058","1,895,933","1,982,643","1,922,189","1,892,396","2,042,360","1,823,238","1,689,165","1,330,790","1,335,767","1,486,752","1,361,750","1,257,655","1,365,463","1,419,125","1,426,146","1,420,903","1,325,291","1,374,702","1,376,216","1,404,590","1,434,004","1,423,436","1,418,761","1,308,391","1,262,801","1,281,774","1,268,224","1,256,350","1,266,785","1,287,370","1,268,499","1,262,958","1,253,614","1,239,112","1,058,054","1,164,670","1,230,611","1,229,261","1,346,009","1,421,717","1,375,914","1,321,056","1,354,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"50,515","45,866","53,260","51,445","58,135","46,916","47,730","47,234","51,549","56,467","57,797","61,162","59,029","62,528","55,038","48,034","53,238","60,015","50,867","43,721","36,823","34,577","33,368","33,716","36,838","47,989","39,596","42,091","42,868","37,878","37,295","49,621","76,952","34,621","69,036","60,069","47,042","43,220","61,271","52,041","25,305","22,836","21,701","23,906","24,144","23,866","23,542","20,887","26,777","24,899","25,010","22,130","23,133","25,748","25,258","24,537","23,297","23,037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
