"Total energy consumed by the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"8,413","9,174","9,915","10,452","10,476","10,429","10,650","12,152","12,708","14,260","15,692","17,107","18,247","18,634","18,033","18,114","19,521","19,875","21,216","19,897","26,850","25,273","27,273","25,823","27,766","29,049","35,158","41,268","41,333","43,514","45,168","43,349","42,232","42,980","56,777","55,101","57,338","57,535","55,734","58,720","65,677","66,056","68,875","72,261","73,514","75,741","68,276","69,762","68,333","67,673","66,148","66,407","66,157","70,501","71,056","72,019","70,602","70,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"167,562","189,849","202,559","205,877","213,654","213,596","238,808","267,468","278,710","290,320","327,501","332,374","349,063","362,517","338,490","323,436","390,336","349,795","345,756","357,011","383,295","362,345","358,322","359,471","382,335","380,852","412,196","426,566","457,461","492,495","496,629","503,694","503,818","508,336","525,772","523,100","541,421","550,545","535,953","579,917","575,790","552,055","576,085","604,837","632,899","650,870","617,496","652,547","639,930","633,613","632,895","635,590","607,033","609,627","631,418","596,251","567,539","559,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"23,378","25,756","29,177","28,055","32,602","33,288","36,662","52,742","57,726","58,052","64,518","67,795","69,393","64,444","64,692","59,072","73,378","67,200","67,394","68,803","71,819","67,666","68,971","78,449","82,851","75,471","79,639","82,615","95,580","98,536","94,834","95,302","98,563","101,025","98,766","100,119","106,532","106,599","110,319","113,486","122,250","123,569","127,832","121,450","123,002","123,858","122,535","127,619","126,771","120,497","123,550","126,817","125,812","126,219","125,903","125,176","123,849","122,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"10,685","11,524","12,808","14,936","17,667","19,580","23,206","26,690","29,293","32,830","37,559","40,992","45,382","47,503","49,071","51,327","51,105","49,922","56,169","45,833","34,488","35,470","32,659","38,555","53,263","54,731","54,735","59,663","62,973","68,532","71,884","74,992","76,106","82,384","89,522","89,510","98,927","98,217","99,919","104,847","107,400","106,539","110,875","113,344","116,046","118,547","125,012","124,368","122,569","115,458","117,562","119,870","118,103","121,698","120,758","124,431","128,369","142,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"567,658","546,430","566,473","644,474","636,930","733,465","800,801","860,998","877,523","898,776","935,147","934,756","952,308","975,036","908,274","877,111","940,768","939,128","947,194","851,084","896,352","836,943","879,866","840,513","923,659","927,419","987,477","984,879","1,031,037","1,058,702","1,061,023","1,051,136","1,069,837","1,082,519","1,066,480","1,105,234","1,135,449","1,217,509","1,215,736","1,300,503","1,327,626","1,299,520","1,323,663","1,352,538","1,410,470","1,312,479","1,220,215","1,223,811","1,237,828","1,198,744","1,213,555","1,183,095","1,101,404","1,131,321","1,137,388","1,141,606","1,116,471","1,117,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"261,835","263,042","278,435","282,031","284,360","301,687","320,627","341,175","364,390","398,546","425,269","442,655","478,567","485,888","492,863","454,769","480,529","466,562","490,549","464,604","468,713","486,899","488,749","493,062","525,363","510,216","530,017","547,335","580,778","599,331","571,231","596,685","594,890","616,326","627,344","652,817","674,822","674,300","652,086","677,946","705,432","673,033","672,106","695,051","708,662","712,840","674,406","722,502","723,429","698,823","708,566","711,185","675,585","694,444","712,983","709,510","700,469","682,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"60,170","53,730","57,530","63,412","67,509","70,516","74,125","85,322","94,036","97,444","105,419","107,161","117,643","117,580","120,726","130,396","137,486","148,674","151,861","154,909","157,335","169,454","182,636","188,052","179,726","180,794","171,117","166,396","189,926","181,903","197,875","186,714","177,707","188,437","188,388","191,389","205,669","214,636","218,760","212,709","227,759","230,904","228,166","224,176","225,402","227,558","229,486","243,187","245,262","240,539","247,728","247,487","244,286","258,113","265,912","257,724","251,589","249,882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"58,076","59,600","64,089","69,656","77,697","79,316","84,656","88,793","93,708","103,680","110,791","119,957","130,598","131,793","129,491","134,146","130,584","133,036","140,708","149,377","156,254","134,001","139,739","133,644","143,841","147,164","143,965","147,206","155,738","164,553","167,677","171,257","169,810","176,010","180,566","183,119","184,847","190,292","191,697","201,158","206,238","198,730","195,814","193,562","183,441","190,644","199,305","195,668","197,639","193,167","184,981","195,585","188,001","191,213","190,038","185,071","190,098","201,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"306,807","301,125","302,233","306,005","309,851","320,341","329,059","330,771","344,835","358,896","378,831","401,602","420,647","430,571","399,829","412,388","452,672","452,453","460,864","443,715","451,406","468,318","464,575","463,908","489,980","468,133","485,413","499,380","524,860","563,256","540,095","554,489","570,133","581,261","612,185","627,950","645,188","627,897","617,822","631,082","700,528","657,769","693,274","696,751","702,174","715,071","687,573","721,017","715,231","682,685","685,045","639,055","610,058","638,850","654,545","659,057","640,392","631,271",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"22,720","21,435","23,195","22,872","22,992","20,620","20,265","27,106","28,983","32,303","35,364","37,704","39,648","40,000","35,502","34,769","36,625","37,356","38,060","37,299","34,175","32,351","33,562","35,690","38,132","39,204","45,187","45,883","46,379","47,498","49,504","45,929","42,169","42,982","46,845","45,658","46,606","44,924","41,864","46,049","47,794","48,568","48,882","53,953","53,546","50,588","48,017","49,708","46,094","46,283","45,791","43,930","44,056","49,370","51,615","49,527","46,828","44,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
