Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2018,19790,Verendrye Electric Coop Inc,ND,MISO,"3,362",373,0,0,"3,735",0,0,0,0,0,15.1,1.7,0.0,0.0,16.8,5.9,0.6,0.0,0.0,6.5,103,12,0,0,115,22,2,0,0,24,.
2018,19798,City of Vernon,CA,CISO,.,.,1,.,1,.,.,0,.,0,.,.,12.7,.,12.7,.,.,.,.,.,.,.,"1,104",.,"1,104",.,.,.,.,.,.
2018,19813,Vernon Electric Coop,WI,MISO,"3,587",209,.,.,"3,796",0,0,.,.,0,5.3,3.3,.,.,8.6,2.2,1.3,.,.,3.5,312,18,.,.,330,36,2,.,.,38,0
2018,19820,Victory Electric Coop Assn Inc,KS,SWPP,.,.,98,.,98,.,.,6,.,6,.,.,.,.,.,.,.,.,.,.,.,.,206,.,206,.,.,5,.,5,.
2018,19876,Virginia Electric & Power Co,NC,PJM,"3,067",0,0,0,"3,067",0,0,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,119,0,0,0,119,120,0,0,0,120,0
2018,19876,Virginia Electric & Power Co,VA,PJM,"80,627",21,0,0,"80,648",0,0,0,0,0,51.0,6.0,0.0,0.0,57.0,0.0,4.1,0.0,0.0,4.1,"3,215",407,0,0,"3,622","2,820",151,0,0,"2,971",0
2018,19896,City of Volga - (SD),SD,SWPP,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35
2018,19947,City of Wadena - (MN),MN,MISO,546,42,27,0,615,291,30,58,0,379,5.9,0.6,0.9,0.0,7.4,3.3,0.3,0.5,0.0,4.1,123,32,36,0,192,54,4,2,0,60,0
2018,19951,City of Wadsworth - (OH),OH,PJM,375,2,.,.,377,2,.,.,.,2,0.4,.,.,.,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,19968,City of Wahoo - (NE),NE,SWPP,"1,800",13,.,.,"1,813",2,1,.,.,3,2.0,1.0,.,.,3.0,2.0,1.0,.,.,3.0,.,.,.,.,.,8,.,.,.,8,.
2018,19981,Wake Electric Membership Corp,NC,CPLE,.,5,1,.,6,.,0,1,.,1,.,0.7,8.0,.,8.7,.,0.7,8.0,.,8.7,.,.,.,.,.,.,.,.,.,.,.
2018,20136,City of Waseca - (MN),MN,MISO,"1,482",113,.,.,"1,595",14,1,.,.,15,0.4,0.4,.,.,0.8,0.1,0.0,.,.,0.2,0,4,.,.,4,20,2,.,.,22,.
2018,20387,West Penn Power Company,PA,PJM,"73,000",15,30,0,"73,045",0,0,0,0,0,2.7,2.8,123.0,0.0,128.5,2.7,2.8,123.0,0.0,128.5,0,2,574,0,576,127,18,284,0,428,.
2018,20401,West River Electric Assn Inc,SD,SWPP,"3,102",.,.,.,"3,102",.,.,.,.,.,28.6,.,.,.,28.6,20.1,.,.,.,20.1,40,.,.,.,40,59,.,.,.,59,.
2018,20404,AEP Texas North Company,TX,ERCO,.,21,.,.,21,.,5,.,.,5,.,5.0,.,.,5.0,.,2.5,.,.,2.5,.,.,.,.,.,.,.,.,.,.,0
2018,20456,Twin Valleys Public Power Dist,NE,SWPP,.,.,725,.,725,.,.,528,.,528,.,.,28.2,.,28.2,.,.,17.8,.,17.8,.,.,528,.,528,.,.,.,.,.,.
2018,20472,"Wharton County Elec Coop, Inc",TX,ERCO,798,33,8,.,839,.,.,.,.,.,2.9,7.7,15.2,.,25.8,2.9,4.4,8.0,.,15.3,159,90,.,.,249,79,110,.,.,189,.
2018,20477,City of Westerville - (OH),OH,PJM,321,.,.,.,321,6,.,.,.,6,0.2,.,.,.,0.2,0.2,.,.,.,0.2,26,.,.,.,26,21,.,.,.,21,.
2018,20521,Wheeling Power Co,WV,PJM,157,0,0,0,157,4,0,0,0,4,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,6,0,0,0,6,32,0,0,0,32,.
2018,20603,Northeastern Rural E M C,IN,PJM,"1,270",.,.,.,"1,270",.,.,.,.,.,0.8,.,.,.,0.8,0.7,.,.,.,0.7,48,.,.,.,48,34,.,.,.,34,.
2018,20639,"Wild Rice Electric Coop, Inc",MN,MISO,"4,934",43,1,.,"4,978","2,927",112,24,.,"3,063",118.7,2.0,1.0,.,121.7,29.0,2.0,1.0,.,32.0,"4,277",295,151,.,"4,724",39,4,1,.,44,.
2018,20737,Willmar Municipal Utilities,MN,MISO,"2,221",208,0,.,"2,429",62,7,.,.,69,1.0,0.1,.,.,1.1,0.8,0.1,.,.,0.9,1,0,.,.,1,97,9,.,.,106,.
2018,20823,Winner Municipal Utility,SD,SWPP,477,42,.,.,519,1,1,.,.,2,1.0,0.0,.,.,1.0,1.0,0.0,.,.,1.0,38,4,.,.,42,.,.,.,.,.,.
2018,20841,"Wiregrass Electric Coop, Inc",AL,AEC,"3,381",.,.,.,"3,381",.,.,.,.,.,4.1,.,.,.,4.1,4.1,.,.,.,4.1,0,.,.,.,0,112,.,.,.,112,.
2018,20847,Wisconsin Electric Power Co,WI,MISO,.,33,67,.,100,.,.,.,.,.,.,9.1,292.1,.,301.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018,20856,Wisconsin Power & Light Co,WI,MISO,.,.,126,.,126,.,.,0,.,0,.,.,142.0,.,142.0,.,.,.,.,.,.,.,"11,620",.,"11,620",.,.,.,.,.,0
2018,20858,WPPI Energy,WI,MISO,0,0,11,0,11,0,0,0,0,0,0.0,0.0,51.5,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0,0,"2,891",0,"2,891",0,0,0,0,0,.
2018,20860,Wisconsin Public Service Corp,WI,MISO,"22,706",605,72,.,"23,383",282,172,57,.,511,30.0,18.0,324.9,.,372.9,13.0,5.0,321.9,.,339.9,755,815,"12,386",.,"13,956",164,60,.,.,225,.
2018,20963,Woodruff Electric Coop Corp,AR,MISO,.,.,"3,700",.,"3,700",.,.,"4,150",.,"4,150",.,.,65.0,.,65.0,.,.,63.0,.,63.0,.,.,"4,000",.,"4,000",.,.,50,.,50,.
2018,21002,York Electric Coop Inc,SC,DUK,"5,474",.,.,.,"5,474",.,.,.,.,.,23.0,.,.,.,23.0,5.8,.,.,.,5.8,140,.,.,.,140,"1,493",.,.,.,"1,493",.
2018,21013,City of Worthington - (MN),MN,MISO,"2,250",.,.,.,"2,250",.,.,.,.,.,6.8,.,.,.,6.8,2.3,.,.,.,2.3,.,.,.,.,.,7,.,.,.,7,.
2018,21244,"Southside Electric Coop, Inc",VA,PJM,"1,348",.,.,.,"1,348",11,.,.,.,11,0.9,.,.,.,0.9,0.4,.,.,.,0.4,0,.,.,.,0,80,.,.,.,80,.
2018,21554,Seminole Electric Cooperative Inc,FL,SEC,"1,000",.,.,.,"1,000",325,.,.,.,325,0.0,.,.,.,0.0,0.0,.,.,.,0.0,36,.,.,.,36,273,.,.,.,273,.
2018,21632,EnergyUnited Elec Member Corp,NC,DUK,"11,785",164,5,.,"11,954",348,276,149,.,773,10.0,8.0,4.0,.,22.0,10.0,7.0,3.0,.,20.0,100,150,50,.,300,15,10,10,.,35,.
2018,22500,Westar Energy Inc,KS,SWPP,"29,697",881,18,.,"30,596",.,.,.,.,.,.,11.0,57.0,.,68.0,.,.,.,.,.,.,234,"1,270",.,"1,504",427,12,.,.,440,.
2018,23826,Bluestem Electric Coop Inc,KS,SWPP,.,12,208,.,220,.,.,5,.,5,.,2.1,.,.,2.1,.,1.5,.,.,1.5,.,.,150,.,150,.,2,23,.,25,.
2018,24211,Tucson Electric Power Co,AZ,TEPC,.,232,.,.,232,.,"21,431",.,.,"21,431",.,42.8,.,.,42.8,.,42.8,.,.,42.8,.,133,.,.,133,.,391,.,.,391,.
2018,24949,Cass County Elec Coop Inc,ND,MISO,"8,855",414,539,.,"9,808","4,578","2,434","1,073",.,"8,085",287.3,125.2,55.3,.,467.8,77.6,33.8,14.9,.,126.3,"4,960","9,744",592,.,"15,296",571,27,35,.,633,29
2018,25295,Western Indiana Energy REMC,IN,MISO,.,7,.,.,7,.,.,.,.,.,.,0.9,.,.,0.9,.,0.9,.,.,0.9,.,8,.,.,8,.,.,.,.,.,.
2018,26218,Little Ocmulgee El Member Corp,GA,SOCO,.,.,259,.,259,.,.,0,.,0,.,.,4.0,.,4.0,.,.,2.0,.,2.0,.,.,.,.,.,.,.,20,.,20,.
2018,26934,"Red Lake Electric Coop, Inc",MN,MISO,"2,217",.,.,.,"2,217",285,.,.,.,285,43.9,.,.,.,43.9,11.8,.,.,.,11.8,789,.,.,.,789,30,.,.,.,30,.
2018,26939,Red River Valley Coop Pwr Assn,MN,MISO,"1,820",29,.,.,"1,849",.,.,.,.,.,46.0,6.0,.,.,52.0,10.0,4.0,.,.,14.0,84,.,.,.,84,68,5,.,.,73,31
2018,40051,Texas-New Mexico Power Co,TX,ERCO,.,39,.,.,39,.,7,.,.,7,.,7.5,.,.,7.5,.,7.2,.,.,7.2,.,246,.,.,246,.,25,.,.,25,.
2018,40165,"Dixie Escalante R E A, Inc",UT,PACE,.,86,.,.,86,.,68,.,.,68,.,8.1,.,.,8.1,.,2.9,.,.,2.9,.,136,.,.,136,.,21,.,.,21,.
2018,40211,"Wabash Valley Power Assn, Inc",IL,MISO,"4,562",.,.,.,"4,562",0,.,.,.,0,9.4,.,.,.,9.4,8.4,.,.,.,8.4,490,.,.,.,490,.,.,.,.,.,.
2018,40211,"Wabash Valley Power Assn, Inc",IN,PJM,88,.,.,.,88,0,.,.,.,0,3.2,.,.,.,3.2,2.8,.,.,.,2.8,168,.,.,.,168,0,.,.,.,0,.
2018,40211,"Wabash Valley Power Assn, Inc",IN,MISO,"21,860",.,.,.,"21,860",0,.,.,.,0,42.2,.,.,.,42.2,37.7,.,.,.,37.7,"2,191",.,.,.,"2,191",0,.,.,.,0,.
2018,40211,"Wabash Valley Power Assn, Inc",MO,MISO,137,.,.,.,137,0,.,.,.,0,0.1,.,.,.,0.1,0.1,.,.,.,0.1,6,.,.,.,6,0,.,.,.,0,.
2018,40212,Colquitt Electric Membership Corp,GA,SOCO,.,6,"2,130",.,"2,136",.,11,730,.,741,.,1.0,75.0,.,76.0,.,1.0,75.0,.,76.0,.,.,.,.,.,.,5,50,.,55,.
2018,40228,Rappahannock Electric Coop,VA,PJM,"39,315",24,.,.,"39,339",13,.,.,.,13,65.7,19.4,.,.,85.1,.,.,.,.,.,49,.,.,.,49,0,.,.,.,0,.
2018,44372,Oncor Electric Delivery Company LLC,TX,ERCO,"26,482",139,.,.,"26,621",104,203,.,.,307,34.6,67.7,.,.,102.3,34.6,67.7,.,.,102.3,"1,316","2,264",.,.,"3,580",120,221,.,.,341,.
2018,55787,City of Moreno Valley - (CA),CA,CISO,28,15,0,0,43,0,41,0,0,41,0.0,0.8,0.0,0.0,0.8,0.0,0.7,0.0,0.0,0.7,1,0,0,0,1,1,8,0,0,8,0
2018,55937,Entergy Texas Inc.,TX,MISO,.,8,.,.,8,.,20,.,.,20,.,10.9,.,.,10.9,.,5.8,.,.,5.8,.,189,.,.,189,.,47,.,.,47,.
2018,58127,Cape Light Compact,MA,ISNE,65,.,.,.,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,104,.,.,.,104,273,75,.,.,348,.
2018,60482,CKenergy Electric Cooperative,OK,SWPP,434,0,23,0,457,4,.,6,.,10,12.5,0.0,22.5,0.0,35.0,3.8,0.0,5.8,0.0,9.6,.,.,.,.,.,700,0,500,0,"1,200",.
2018,60631,Upper Michigan Energy Resources Corp.,MI,MISO,74,1,6,0,81,.,.,.,.,.,0.1,0.0,19.9,0.0,20.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
